num,municipio,poblacion
1,Abasolo,"92,040"
2,Acámbaro,"108,697"
4,Apaseo el Alto,"63,392"
5,Apaseo el Grande,"117,883"
6,Atarjea,"5,296"
7,Celaya,"521,169"
9,Comonfort,"82,216"
10,Coroneo,"11,083"
11,Cortazar,"97,928"
12,Cuerámaro,"30,857"
13,Doctor Mora,"27,390"
14,Dolores Hidalgo Cuna de la Independencia Nacional,"163,038"
15,Guanajuato,"194,500"
16,Huanímaro,"21,128"
17,Irapuato,"592,953"
18,Jaral del Progreso,"38,782"
19,Jerécuaro,"49,517"
20,León,"1,721,215"
8,Manuel Doblado,"41,240"
21,Moroleón,"47,261"
22,Ocampo,"26,383"
23,Pénjamo,"154,960"
24,Pueblo Nuevo,"12,403"
25,Purísima del Rincón,"83,842"
26,Romita,"65,766"
27,Salamanca,"273,417"
28,Salvatierra,"94,126"
29,San Diego de la Unión,"41,054"
30,San Felipe,"119,793"
31,San Francisco del Rincón,"130,871"
32,San José Iturbide,"89,558"
33,San Luis de la Paz,"128,536"
3,San Miguel de Allende,"174,615"
34,Santa Catarina,"5,723"
35,Santa Cruz de Juventino Rosas,"82,340"
36,Santiago Maravatío,"6,714"
37,Silao de la Victoria,"203,556"
38,Tarandacuao,"11,304"
39,Tarimoro,"35,905"
40,Tierra Blanca,"20,007"
41,Uriangato,"61,494"
42,Valle de Santiago,"150,054"
43,Victoria,"21,253"
44,Villagrán,"65,791"
45,Xichú,"11,143"
46,Yuriria,"68,741"
